Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Sensor name,Datamodel,Mapping,Template
r_ts,Measurement Timestamp,Timestamp (GMT+0),r,uint32_t,dimensionless,N/A,N/A,No,ALL_ONE_PROBES,,,No
r_loop,Measurement Loop number,Sending loop number,r,uint32_t,dimensionless,1,N/A,No,ALL_ONE_PROBES,,,Yes
r_1_tmp,bme280_temperature,bme280_temperature,r,float,celsius,N/A,N/A,No,BME280,,,Yes
r_1_hum,bme280_humidity,bme280_humidity,r,float,%,N/A,N/A,No,BME280,,,Yes
r_1_pres,bme280_pressure,bme280_pressure,r,float,hPa,N/A,N/A,No,BME280,,,Yes
r_2_tmp,si411_temperature,si411_temperature,r,float,celsius,N/A,N/A,No,SI411,,,Yes
r_3_tmpbd,sf421_temperature_bud,sf421_temperature_bud,r,float,celsius,N/A,N/A,No,SF421,,,Yes
r_3_tmpfl,sf421_temperature_flower,sf421_temperature_flower,r,float,celsius,N/A,N/A,No,SF421,,,No
r_4_ox,so411_oxygen,so411_oxygen,r,float,%,N/A,N/A,No,SO411,,,Yes
r_4_tmp,so411_temperature,so411_temperature,r,float,celsius,N/A,N/A,No,SO411,,,Yes
r_4_volt,so411_millivolts,so411_millivolts,r,float,millivolts,N/A,N/A,No,SO411,,,No
r_5_rwc,teros11_raw_water_content,teros11_raw_water_content,r,float,dimensionless,N/A,N/A,No,TEROS11,,,Yes
r_5_tmp,teros11_temperature,teros11_temperature,r,float,celsius,N/A,N/A,No,TEROS11,,,Yes
r_6_rwc,teros12_raw_water_content,teros12_raw_water_content,r,float,dimensionless,N/A,N/A,No,TEROS12,,,Yes
r_6_cond,teros12_conductivity,teros12_conductivity,r,float,µS/cm,N/A,N/A,No,TEROS12,,,Yes
r_6_tmp,teros12_temperature,teros12_temperature,r,float,celsius,N/A,N/A,No,TEROS12,,,Yes
r_7_wp,teros21_water_potential,teros21_water_potential,r,float,kPa,N/A,N/A,No,TEROS21,,,Yes
r_7_tmp,teros21_temperature,teros21_temperature,r,float,celsius,N/A,N/A,No,TEROS21,,,Yes
r_8_vp,atmos14_vapor_pressure,atmos14_vapor_pressure,r,float,kPa,N/A,N/A,No,ATMOS14,,,Yes
r_8_tmp,atmos14_temperature,atmos14_temperature,r,float,celsius,N/A,N/A,No,ATMOS14,,,Yes
r_8_hum,atmos14_humidity,atmos14_humidity,r,float,%RH,N/A,N/A,No,ATMOS14,,,Yes
r_8_pres,atmos14_pressure,atmos14_pressure,r,float,kPa,N/A,N/A,No,ATMOS14,,,Yes
r_9_pres,gmx240_pressure,gmx240_pressure,r,float,kPa,N/A,N/A,No,GMX240,,,Yes
r_9_wd,gmx240_wind_direction,gmx240_wind_direction,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,Yes
r_9_ws,gmx240_wind_speed,gmx240_wind_speed,r,float,m/s,N/A,N/A,No,GMX240,,,Yes
r_9_wcd,gmx240_wind_corrected_direction,gmx240_wind_corrected_direction,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_wad,gmx240_wind_average_direction,gmx240_wind_average_direction,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_was,gmx240_wind_average_speed,gmx240_wind_average_speed,r,float,m/s,N/A,N/A,No,GMX240,,,No
r_9_wagd,gmx240_wind_average_gust_direction,gmx240_wind_average_gust_direction,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_wags,gmx240_wind_average_gust_speed,gmx240_wind_average_gust_speed,r,float,m/s,N/A,N/A,No,GMX240,,,No
r_9_wacd,gmx240_wind_average_corrected_direction,gmx240_wind_average_corrected_direction,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_wss,gmx240_wind_sensor_status,gmx240_wind_sensor_status,r,uint16_t,dimensionless,N/A,N/A,No,GMX240,,,No
r_9_pt,gmx240_precipitation_total,gmx240_precipitation_total,r,float,mm,N/A,N/A,No,GMX240,,,Yes
r_9_pi,gmx240_precipitation_intensity,gmx240_precipitation_intensity,r,float,mm,N/A,N/A,No,GMX240,,,No
r_9_pss,gmx240_precipitation_sensor_status,gmx240_precipitation_sensor_status,r,bool,dimensionless,N/A,N/A,No,GMX240,,,No
r_9_cmp,gmx240_compass,gmx240_compass,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_x,gmx240_x_tilt,gmx240_x_tilt,r,int8_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_y,gmx240_y_tilt,gmx240_y_tilt,r,int8_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_z,gmx240_z_orient,gmx240_z_orient,r,int8_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_ts,gmx240_timestamp,gmx240_timestamp,r,uint32_t,seconds,N/A,N/A,No,GMX240,,,No
r_9_volt,gmx240_supply_voltage,gmx240_supply_voltage,r,float,volts,N/A,N/A,No,GMX240,,,No
r_9_stat,gmx240_status,gmx240_status,r,uint16_t,dimensionless,N/A,N/A,No,GMX240,,,No
r_9_spd,gmx240_gps_speed,gmx240_gps_speed,r,float,m/s,N/A,N/A,No,GMX240,,,No
r_9_cspd,gmx240_gps_corrected_speed,gmx240_gps_corrected_speed,r,float,m/s,N/A,N/A,No,GMX240,,,No
r_9_acspd,gmx240_gps_average_corrected_speed,gmx240_gps_average_corrected_speed,r,float,m/s,N/A,N/A,No,GMX240,,,No
r_9_cgspd,gmx240_gps_corrected_gust_speed,gmx240_gps_corrected_gust_speed,r,float,m/s,N/A,N/A,No,GMX240,,,No
r_9_cgdir,gmx240_gps_corrected_gust_direction,gmx240_gps_corrected_gust_direction,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_lat,gmx240_gps_latitude,gmx240_gps_latitude,r,float,degrees,N/A,N/A,No,GMX240,,,No
r_9_lon,gmx240_gps_longitude,gmx240_gps_longitude,r,float,degrees,N/A,N/A,No,GMX240,,,No
r_9_heig,gmx240_gps_height,gmx240_gps_height,r,float,degrees,N/A,N/A,No,GMX240,,,No
r_9_head,gmx240_gps_heading,gmx240_gps_heading,r,uint16_t,degrees,N/A,N/A,No,GMX240,,,No
r_9_gstat,gmx240_gps_status,gmx240_gps_status,r,uint16_t,dimensionless,N/A,N/A,No,GMX240,,,No
r_10_wd,gmx550_wind_direction,gmx550_wind_direction,r,uint16_t,degrees,N/A,N/A,No,GMX550,,,Yes
r_10_ws,gmx550_wind_speed,gmx550_wind_speed,r,float,m/s,N/A,N/A,No,GMX550,,,Yes
r_10_wcd,gmx550_wind_corrected_direction,gmx550_wind_corrected_direction,r,uint16_t,degrees,N/A,N/A,No,GMX550,,,No
r_10_wad,gmx550_wind_average_direction,gmx550_wind_average_direction,r,uint16_t,degrees,N/A,N/A,No,GMX550,,,No
r_10_was,gmx550_wind_average_speed,gmx550_wind_average_speed,r,float,m/s,N/A,N/A,No,GMX550,,,No
r_10_wagd,gmx550_wind_average_gust_direction,gmx550_wind_average_gust_direction,r,uint16_t,degrees,N/A,N/A,No,GMX550,,,No
r_10_wags,gmx550_wind_average_gust_speed,gmx550_wind_average_gust_speed,r,float,m/s,N/A,N/A,No,GMX550,,,No
r_10_wacd,gmx550_wind_average_corrected_direction,gmx550_wind_average_corrected_direction,r,uint16_t,degrees,N/A,N/A,No,GMX550,,,No
r_10_wss,gmx550_wind_sensor_status,gmx550_wind_sensor_status,r,uint16_t,dimensionless,N/A,N/A,No,GMX550,,,No
r_10_pres,gmx550_pressure,gmx550_pressure,r,float,hPa,N/A,N/A,No,GMX550,,,Yes
r_10_psl,gmx550_pressure_sea_level,gmx550_pressure_sea_level,r,float,hPa,N/A,N/A,No,GMX550,,,No
r_10_ps,gmx550_pressure_station,gmx550_pressure_station,r,float,hPa,N/A,N/A,No,GMX550,,,No
r_10_hr,gmx550_humidity_relative,gmx550_humidity_relative,r,uint8_t,%,N/A,N/A,No,GMX550,,,Yes
r_10_tmp,gmx550_temperature,gmx550_temperature,r,float,celsius,N/A,N/A,No,GMX550,,,Yes
r_10_dp,gmx550_dew_point,gmx550_dew_point,r,float,degrees,N/A,N/A,No,GMX550,,,No
r_10_ha,gmx550_humidity_absolute,gmx550_humidity_absolute,r,float,g/m3,N/A,N/A,No,GMX550,,,No
r_10_pt,gmx550_precipitation_total,gmx550_precipitation_total,r,float,mm,N/A,N/A,No,GMX550,,,Yes
r_10_pi,gmx550_precipitation_intensity,gmx550_precipitation_intensity,r,float,mm,N/A,N/A,No,GMX550,,,No
r_10_pss,gmx550_precipitation_sensor_status,gmx550_precipitation_sensor_status,r,bool,dimensionless,N/A,N/A,No,GMX550,,,Yes
r_10_cmp,gmx550_compass,gmx550_compass,r,uint16_t,degrees,N/A,N/A,No,GMX550,,,No
r_10_wc,gmx550_wind_chill,gmx550_wind_chill,r,float,celsius,N/A,N/A,No,GMX550,,,No
