Command,Name,Description,Operations,Data type,Units,Min,Max,Internal
r_serial,Device serial,Serial of the device,r,string,dimensionless,N/A,N/A,No
r_ts,Reported timestamp,Timestamp reported by the device,r,uint32_t,dimensionless,N/A,N/A,No
r_fw,Firmware version,Device Firmware Version,r,string,dimensionless,N/A,N/A,No
r_radio_fw,Radio firmware version,Radio Firmware Version,r,string,dimensionless,N/A,N/A,No
rw_slp_m,Time sleep min,Minutes to sleep between measurements,rw,uint8_t,minutes,0,20,No
rw_slp_s,Time sleep secs,Seconds to sleep between measurements,rw,uint8_t,seconds,0,59,No
rw_ka_h,Time keep alive,Time to send keep-alive,rw,uint8_t,hours,0,24,No
rw_nm,Night mode,Night-mode working mode (0: Disabled / 1: Light / 2: Deep),rw,uint8_t,dimensionless,0,5,No
rw_nm_start,Night mode start hour (UTC),Night Mode Start Hour (UTC),rw,uint8_t,hours,0,23,No
rw_nm_dur_h,Night mode duration,Night Mode Duration,rw,uint8_t,hours,1,12,No
rw_nm_slp_m,Night mode time to sleep,Night Mode Sleep Time,rw,uint8_t,minutes,1,20,No
rw_rdr_st,Radar range start,Radar Range Start,rw,uint8_t,centimeters,20,40,Yes
rw_rdr_len,Radar range length,Radar Range Length,rw,uint8_t,centimeters,40,120,Yes
rw_rdr_th,Radar threshold,Radar Threshold,rw,uint16_t,db,1000,5000,Yes
rw_sec_snd,Secondary sending,Flag to enable/disable secondary sending,rw,bool,dimensionless,N/A,N/A,Yes
rw_rpt_days,Sync report frequency,Days to send sync report (0: Disabled),rw,uint8_t,days,0,30,No
rw_h_snd_limit,Hourly sendings limit,Hourly Sendings Limit,rw,uint8_t,dimensionless,10,255,No
rw_radio_timeout_s,Connection timeout,Timeout in seconds for radio send,rw,uint8_t,seconds,15,50,No
rw_tau_ref_m,NB-IoT TAU refresh frequency,Max NB-IoT timer in minutes required to refresh manually psm tau timer,rw,uint8_t,minutes,0,255,Yes
rw_op_code_pre,Preset operator code,Preset operator code,rw,uint32_t,dimensionless,0,999999,No
rw_apn,Context APN,NB-IoT context APN. Login and password can ve added by commas,rw,string,dimensionless,N/A,N/A,No
rw_dns,DNS,DNS server IP,rw,string,dimensionless,N/A,N/A,No
rw_nb_rel,NB-IoT Release,NB-IoT Release 13 or 14,rw,uint8_t,dimensionless,13,14,Yes
rw_ps_detection,Power saving detection (PS),Enable/disable power saving detection algorithm using magnetic field variations,rw,bool,dimensionless,N/A,N/A,No
rw_ps_mg_single_delta,PS single delta limit,Magnetic field single axis delta variation to launch radar reading,rw,uint16_t,milligauss,0,100,Yes
rw_ps_mg_total_delta,PS total delta limit,Magnetic field total delta variation to launch radar reading,rw,uint16_t,milligauss,0,300,Yes
rw_ps_mg_mean_loops,PS mean loops,Number of loops to calculate magnetic field mean for ps detection algorithm,rw,uint8_t,dimensionless,1,10,Yes
rw_ps_rdr_timeout_m,PS radar reading timeout,Maximum number of minutes without reading radar sensor,rw,uint8_t,minutes,0,20,Yes
rw_diag_mode,Diagnostic mode,Set the node in diagnostic mode (0:Disable / 1: 1 day / 2: 3 days / 3: 7 days / 4: Permanent / 5: Once),rw,uint8_t,dimensionless,0,5,No
rw_v_type_th,Vehicle type threshold,Limit distance in centimeters to determine vehicle type,rw,uint8_t,centimeters,30,80,No
rw_v_info_lvl,Vehicle estimations report level,Vehicle estimations report level (0: Disabled /  1: Light: / 2: Extended),rw,uint8_t,dimensionless,0,2,No
rw_v_ctr_sens,Vehicle counter sensitivity,Sensitivity used to increment vehicle counter after mag. field variation (lower: less vehicle changes),rw,uint8_t,dimensionless,0,10,No
rw_dchk_s,Double check delay,Seconds to wait before repeating radar measurement after occupied slot change to confirm it,rw,uint16_t,seconds,0,300,No
rw_doubt_sens,Doubtful detection sensitivity,Sensitivity used to count detection as doubtful (lower: more doubtful detections),rw,uint8_t,dimensionless,0,10,No
rw_slot_id,Parking slot ID,Parking slot configurable identifier,rw,string,dimensionless,N/A,N/A,No
rw_band_pre,NB-IoT  preset band,NB-IoT band to use,rw,uint8_t,dimensionless,0,85,Yes
rw_tau_tmr_s_pre,NB-IoT preset TAU timer,Desired PSM TAU timer in seconds,rw,uint32_t,seconds,3600,35712000,Yes
rw_act_tmr_s_pre,NB-IoT preset active timer,Desired PSM active timer in seconds,rw,uint8_t,seconds,0,12,Yes
rw_active,Remote activation,Parameter to control device remote activation,rw,bool,dimensionless,N/A,N/A,No
rw_act_chk_days,Activation check period,Days to check if device is remotelyt activated,rw,uint8_t,dimensionless,N/A,N/A,No
rw_limit_snd_days,Limit days without sending,Days to repeat bootstrapping after sending errors,rw,uint8_t,days,1,15,No
